assumption_name,year,base_value,source_category,source,rationale,downside_value,upside_value,guidance_low,guidance_high,notes
rd_ex_sbc,2028,0.22,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p21,"R&D remains largest investment; includes allocated D&A, excludes equity compensation.",0.21,0.23,,,Downside/upside columns are parameter low/high; value impact may reverse.
rd_ex_sbc,2029,0.215,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p21,"R&D remains largest investment; includes allocated D&A, excludes equity compensation.",0.205,0.225,,,Downside/upside columns are parameter low/high; value impact may reverse.
rd_ex_sbc,2030,0.21,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p21,"R&D remains largest investment; includes allocated D&A, excludes equity compensation.",0.19999999999999998,0.22,,,Downside/upside columns are parameter low/high; value impact may reverse.
sm_ex_sbc,2026,0.13,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p21,"Higher 2026 marketing effort, then gradual scale efficiency.",0.12000000000000001,0.14,,,Downside/upside columns are parameter low/high; value impact may reverse.
sm_ex_sbc,2027,0.125,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p21,"Higher 2026 marketing effort, then gradual scale efficiency.",0.115,0.135,,,Downside/upside columns are parameter low/high; value impact may reverse.
sm_ex_sbc,2028,0.12,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p21,"Higher 2026 marketing effort, then gradual scale efficiency.",0.11,0.13,,,Downside/upside columns are parameter low/high; value impact may reverse.
sm_ex_sbc,2029,0.115,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p21,"Higher 2026 marketing effort, then gradual scale efficiency.",0.10500000000000001,0.125,,,Downside/upside columns are parameter low/high; value impact may reverse.
sm_ex_sbc,2030,0.11,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p21,"Higher 2026 marketing effort, then gradual scale efficiency.",0.1,0.12,,,Downside/upside columns are parameter low/high; value impact may reverse.
ga_ex_sbc,2026,0.105,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p21,Administrative operating leverage; includes D&A; no separate D&A charge in EBIT.,0.095,0.11499999999999999,,,Downside/upside columns are parameter low/high; value impact may reverse.
ga_ex_sbc,2027,0.1,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p21,Administrative operating leverage; includes D&A; no separate D&A charge in EBIT.,0.09000000000000001,0.11,,,Downside/upside columns are parameter low/high; value impact may reverse.
ga_ex_sbc,2028,0.095,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p21,Administrative operating leverage; includes D&A; no separate D&A charge in EBIT.,0.085,0.105,,,Downside/upside columns are parameter low/high; value impact may reverse.
ga_ex_sbc,2029,0.09,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p21,Administrative operating leverage; includes D&A; no separate D&A charge in EBIT.,0.08,0.09999999999999999,,,Downside/upside columns are parameter low/high; value impact may reverse.
ga_ex_sbc,2030,0.085,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p21,Administrative operating leverage; includes D&A; no separate D&A charge in EBIT.,0.07500000000000001,0.095,,,Downside/upside columns are parameter low/high; value impact may reverse.
sbc_ratio,2026,0.15,GUIDANCE,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,2026 equity expense guidance; gradually declining expense intensity thereafter.,0.13,0.16999999999999998,,,Downside/upside columns are parameter low/high; value impact may reverse.
sbc_ratio,2027,0.14,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,2026 equity expense guidance; gradually declining expense intensity thereafter.,0.12000000000000001,0.16,,,Downside/upside columns are parameter low/high; value impact may reverse.
sbc_ratio,2028,0.13,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,2026 equity expense guidance; gradually declining expense intensity thereafter.,0.11,0.15,,,Downside/upside columns are parameter low/high; value impact may reverse.
sbc_ratio,2029,0.12,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,2026 equity expense guidance; gradually declining expense intensity thereafter.,0.09999999999999999,0.13999999999999999,,,Downside/upside columns are parameter low/high; value impact may reverse.
sbc_ratio,2030,0.11,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,2026 equity expense guidance; gradually declining expense intensity thereafter.,0.09,0.13,,,Downside/upside columns are parameter low/high; value impact may reverse.
da_ratio,2026,0.01386965359116182,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm cash-flow statement p86,"Carry FY2025 D&A/revenue; embedded in costs, added back once in cash flow.",0.01186965359116182,0.01586965359116182,,,Downside/upside columns are parameter low/high; value impact may reverse.
da_ratio,2027,0.01386965359116182,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm cash-flow statement p86,"Carry FY2025 D&A/revenue; embedded in costs, added back once in cash flow.",0.01186965359116182,0.01586965359116182,,,Downside/upside columns are parameter low/high; value impact may reverse.
da_ratio,2028,0.01386965359116182,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm cash-flow statement p86,"Carry FY2025 D&A/revenue; embedded in costs, added back once in cash flow.",0.01186965359116182,0.01586965359116182,,,Downside/upside columns are parameter low/high; value impact may reverse.
da_ratio,2029,0.01386965359116182,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm cash-flow statement p86,"Carry FY2025 D&A/revenue; embedded in costs, added back once in cash flow.",0.01186965359116182,0.01586965359116182,,,Downside/upside columns are parameter low/high; value impact may reverse.
da_ratio,2030,0.01386965359116182,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm cash-flow statement p86,"Carry FY2025 D&A/revenue; embedded in costs, added back once in cash flow.",0.01186965359116182,0.01586965359116182,,,Downside/upside columns are parameter low/high; value impact may reverse.
capex_ratio,2026,0.026406409474271607,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm cash-flow statement p86,PPE plus software/intangible cash purchases; acquisitions excluded.,0.021406409474271606,0.031406409474271604,,,Downside/upside columns are parameter low/high; value impact may reverse.
capex_ratio,2027,0.026406409474271607,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm cash-flow statement p86,PPE plus software/intangible cash purchases; acquisitions excluded.,0.021406409474271606,0.031406409474271604,,,Downside/upside columns are parameter low/high; value impact may reverse.
capex_ratio,2028,0.026406409474271607,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm cash-flow statement p86,PPE plus software/intangible cash purchases; acquisitions excluded.,0.021406409474271606,0.031406409474271604,,,Downside/upside columns are parameter low/high; value impact may reverse.
capex_ratio,2029,0.026406409474271607,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm cash-flow statement p86,PPE plus software/intangible cash purchases; acquisitions excluded.,0.021406409474271606,0.031406409474271604,,,Downside/upside columns are parameter low/high; value impact may reverse.
capex_ratio,2030,0.026406409474271607,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm cash-flow statement p86,PPE plus software/intangible cash purchases; acquisitions excluded.,0.021406409474271606,0.031406409474271604,,,Downside/upside columns are parameter low/high; value impact may reverse.
tax_rate,2026,0.24,GUIDANCE,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,Midpoint 23–25% effective tax outlook; normalized cash-tax proxy. No 2025 benefit recurrence.,0.22,0.26,0.23,0.25,Downside/upside columns are parameter low/high; value impact may reverse.
tax_rate,2027,0.24,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,Midpoint 23–25% effective tax outlook; normalized cash-tax proxy. No 2025 benefit recurrence.,0.22,0.26,,,Downside/upside columns are parameter low/high; value impact may reverse.
tax_rate,2028,0.24,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,Midpoint 23–25% effective tax outlook; normalized cash-tax proxy. No 2025 benefit recurrence.,0.22,0.26,,,Downside/upside columns are parameter low/high; value impact may reverse.
tax_rate,2029,0.24,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,Midpoint 23–25% effective tax outlook; normalized cash-tax proxy. No 2025 benefit recurrence.,0.22,0.26,,,Downside/upside columns are parameter low/high; value impact may reverse.
tax_rate,2030,0.24,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10,Midpoint 23–25% effective tax outlook; normalized cash-tax proxy. No 2025 benefit recurrence.,0.22,0.26,,,Downside/upside columns are parameter low/high; value impact may reverse.
ar_ratio,2026,0.15692822495226916,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.13692822495226917,0.17692822495226915,,,Downside/upside columns are parameter low/high; value impact may reverse.
ar_ratio,2027,0.15692822495226916,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.13692822495226917,0.17692822495226915,,,Downside/upside columns are parameter low/high; value impact may reverse.
ar_ratio,2028,0.15692822495226916,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.13692822495226917,0.17692822495226915,,,Downside/upside columns are parameter low/high; value impact may reverse.
ar_ratio,2029,0.15692822495226916,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.13692822495226917,0.17692822495226915,,,Downside/upside columns are parameter low/high; value impact may reverse.
ar_ratio,2030,0.15692822495226916,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.13692822495226917,0.17692822495226915,,,Downside/upside columns are parameter low/high; value impact may reverse.
deferred_cost_ratio,2026,0.09894380144739391,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.08894380144739392,0.1089438014473939,,,Downside/upside columns are parameter low/high; value impact may reverse.
deferred_cost_ratio,2027,0.09894380144739391,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.08894380144739392,0.1089438014473939,,,Downside/upside columns are parameter low/high; value impact may reverse.
deferred_cost_ratio,2028,0.09894380144739391,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.08894380144739392,0.1089438014473939,,,Downside/upside columns are parameter low/high; value impact may reverse.
deferred_cost_ratio,2029,0.09894380144739391,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.08894380144739392,0.1089438014473939,,,Downside/upside columns are parameter low/high; value impact may reverse.
deferred_cost_ratio,2030,0.09894380144739391,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.08894380144739392,0.1089438014473939,,,Downside/upside columns are parameter low/high; value impact may reverse.
prepaid_ratio,2026,0.015981279678177005,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.010981279678177004,0.020981279678177006,,,Downside/upside columns are parameter low/high; value impact may reverse.
prepaid_ratio,2027,0.015981279678177005,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.010981279678177004,0.020981279678177006,,,Downside/upside columns are parameter low/high; value impact may reverse.
prepaid_ratio,2028,0.015981279678177005,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.010981279678177004,0.020981279678177006,,,Downside/upside columns are parameter low/high; value impact may reverse.
prepaid_ratio,2029,0.015981279678177005,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.010981279678177004,0.020981279678177006,,,Downside/upside columns are parameter low/high; value impact may reverse.
prepaid_ratio,2030,0.015981279678177005,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.010981279678177004,0.020981279678177006,,,Downside/upside columns are parameter low/high; value impact may reverse.
ap_ratio,2026,0.007708254424439735,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.004708254424439735,0.010708254424439735,,,Downside/upside columns are parameter low/high; value impact may reverse.
ap_ratio,2027,0.007708254424439735,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.004708254424439735,0.010708254424439735,,,Downside/upside columns are parameter low/high; value impact may reverse.
ap_ratio,2028,0.007708254424439735,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.004708254424439735,0.010708254424439735,,,Downside/upside columns are parameter low/high; value impact may reverse.
ap_ratio,2029,0.007708254424439735,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.004708254424439735,0.010708254424439735,,,Downside/upside columns are parameter low/high; value impact may reverse.
ap_ratio,2030,0.007708254424439735,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.004708254424439735,0.010708254424439735,,,Downside/upside columns are parameter low/high; value impact may reverse.
accrued_ratio,2026,0.0440328492302829,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.0340328492302829,0.054032849230282905,,,Downside/upside columns are parameter low/high; value impact may reverse.
accrued_ratio,2027,0.0440328492302829,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.0340328492302829,0.054032849230282905,,,Downside/upside columns are parameter low/high; value impact may reverse.
accrued_ratio,2028,0.0440328492302829,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.0340328492302829,0.054032849230282905,,,Downside/upside columns are parameter low/high; value impact may reverse.
accrued_ratio,2029,0.0440328492302829,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.0340328492302829,0.054032849230282905,,,Downside/upside columns are parameter low/high; value impact may reverse.
accrued_ratio,2030,0.0440328492302829,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm balance sheet p83,Carry FY2025 balance/revenue. Accrued includes current lease obligations on operating basis.,0.0340328492302829,0.054032849230282905,,,Downside/upside columns are parameter low/high; value impact may reverse.
deferred_revenue_ratio,2026,0.47572908036454015,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10; https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm p83,2026 bookings guidance minus revenue approximates deferred-revenue change; hold resulting ratio later. FX/other timing ignored.,0.4457290803645402,0.5057290803645401,,,Downside/upside columns are parameter low/high; value impact may reverse.
deferred_revenue_ratio,2027,0.47572908036454015,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10; https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm p83,2026 bookings guidance minus revenue approximates deferred-revenue change; hold resulting ratio later. FX/other timing ignored.,0.4457290803645402,0.5057290803645401,,,Downside/upside columns are parameter low/high; value impact may reverse.
deferred_revenue_ratio,2028,0.47572908036454015,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10; https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm p83,2026 bookings guidance minus revenue approximates deferred-revenue change; hold resulting ratio later. FX/other timing ignored.,0.4457290803645402,0.5057290803645401,,,Downside/upside columns are parameter low/high; value impact may reverse.
deferred_revenue_ratio,2029,0.47572908036454015,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10; https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm p83,2026 bookings guidance minus revenue approximates deferred-revenue change; hold resulting ratio later. FX/other timing ignored.,0.4457290803645402,0.5057290803645401,,,Downside/upside columns are parameter low/high; value impact may reverse.
deferred_revenue_ratio,2030,0.47572908036454015,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p10; https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm p83,2026 bookings guidance minus revenue approximates deferred-revenue change; hold resulting ratio later. FX/other timing ignored.,0.4457290803645402,0.5057290803645401,,,Downside/upside columns are parameter low/high; value impact may reverse.
investment_yield,2026,0.04634622931603167,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm statements,Prior-year interest / opening cash and investments. Excluded from operating FCFF.,0.03634622931603167,0.05634622931603167,,,Downside/upside columns are parameter low/high; value impact may reverse.
investment_yield,2027,0.04634622931603167,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm statements,Prior-year interest / opening cash and investments. Excluded from operating FCFF.,0.03634622931603167,0.05634622931603167,,,Downside/upside columns are parameter low/high; value impact may reverse.
investment_yield,2028,0.04634622931603167,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm statements,Prior-year interest / opening cash and investments. Excluded from operating FCFF.,0.03634622931603167,0.05634622931603167,,,Downside/upside columns are parameter low/high; value impact may reverse.
investment_yield,2029,0.04634622931603167,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm statements,Prior-year interest / opening cash and investments. Excluded from operating FCFF.,0.03634622931603167,0.05634622931603167,,,Downside/upside columns are parameter low/high; value impact may reverse.
investment_yield,2030,0.04634622931603167,HISTORY,https://www.sec.gov/Archives/edgar/data/1562088/000162828026012494/duol-20251231.htm statements,Prior-year interest / opening cash and investments. Excluded from operating FCFF.,0.03634622931603167,0.05634622931603167,,,Downside/upside columns are parameter low/high; value impact may reverse.
minimum_cash,2026,100.0,JUDGMENT,Analyst liquidity policy,Retain $100m operating cash; no assumed borrowing facility. Cash floor failure blocks valuation.,75.0,125.0,,,Downside/upside columns are parameter low/high; value impact may reverse.
minimum_cash,2027,100.0,JUDGMENT,Analyst liquidity policy,Retain $100m operating cash; no assumed borrowing facility. Cash floor failure blocks valuation.,75.0,125.0,,,Downside/upside columns are parameter low/high; value impact may reverse.
minimum_cash,2028,100.0,JUDGMENT,Analyst liquidity policy,Retain $100m operating cash; no assumed borrowing facility. Cash floor failure blocks valuation.,75.0,125.0,,,Downside/upside columns are parameter low/high; value impact may reverse.
minimum_cash,2029,100.0,JUDGMENT,Analyst liquidity policy,Retain $100m operating cash; no assumed borrowing facility. Cash floor failure blocks valuation.,75.0,125.0,,,Downside/upside columns are parameter low/high; value impact may reverse.
minimum_cash,2030,100.0,JUDGMENT,Analyst liquidity policy,Retain $100m operating cash; no assumed borrowing facility. Cash floor failure blocks valuation.,75.0,125.0,,,Downside/upside columns are parameter low/high; value impact may reverse.
buybacks,2026,0.0,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p9; Q2 10-Q cash flow p10,No incremental future discretionary repurchases in base; $71.9m through Aug1 vs $69.603m H1 cash is separately dated bridge adjustment.,-10.0,10.0,,,Downside/upside columns are parameter low/high; value impact may reverse.
buybacks,2027,0.0,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p9; Q2 10-Q cash flow p10,No incremental future discretionary repurchases in base; $71.9m through Aug1 vs $69.603m H1 cash is separately dated bridge adjustment.,-10.0,10.0,,,Downside/upside columns are parameter low/high; value impact may reverse.
buybacks,2028,0.0,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p9; Q2 10-Q cash flow p10,No incremental future discretionary repurchases in base; $71.9m through Aug1 vs $69.603m H1 cash is separately dated bridge adjustment.,-10.0,10.0,,,Downside/upside columns are parameter low/high; value impact may reverse.
buybacks,2029,0.0,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p9; Q2 10-Q cash flow p10,No incremental future discretionary repurchases in base; $71.9m through Aug1 vs $69.603m H1 cash is separately dated bridge adjustment.,-10.0,10.0,,,Downside/upside columns are parameter low/high; value impact may reverse.
buybacks,2030,0.0,JUDGMENT,https://www.sec.gov/Archives/edgar/data/1562088/000162828026053299/q2fy26duolingo6-30x26share.htm p9; Q2 10-Q cash flow p10,No incremental future discretionary repurchases in base; $71.9m through Aug1 vs $69.603m H1 cash is separately dated bridge adjustment.,-10.0,10.0,,,Downside/upside columns are parameter low/high; value impact may reverse.
option_proceeds,2026,0.0,JUDGMENT,Analyst financing policy,No speculative future option exercises; existing equity awards captured in diluted denominator.,-5.0,5.0,,,Downside/upside columns are parameter low/high; value impact may reverse.
option_proceeds,2027,0.0,JUDGMENT,Analyst financing policy,No speculative future option exercises; existing equity awards captured in diluted denominator.,-5.0,5.0,,,Downside/upside columns are parameter low/high; value impact may reverse.
option_proceeds,2028,0.0,JUDGMENT,Analyst financing policy,No speculative future option exercises; existing equity awards captured in diluted denominator.,-5.0,5.0,,,Downside/upside columns are parameter low/high; value impact may reverse.
